Case Number,Date,Year,Type,Country,Area,Activity,Age,Fatal (Y/N),Sex,Month
2018.06.18,18-Jun-2018,2018,Unprovoked,USA,Georgia,Standing,11,N,F,Jun
2018.06.03.a,03-Jun-2018,2018,Unprovoked,BRAZIL,Pernambuco,Swimming,18,Y,M,Jun
2018.05.27,27-May-2018,2018,Unprovoked,USA,Florida,Fishing,52,N,M,May
2018.05.26.b,26-May-2018,2018,Unprovoked,USA,Florida,Walking,15,N,M,May
2018.05.26.a,26-May-2018,2018,Unprovoked,USA,Florida,Standing,12,N,M,May
2018.05.21,21-May-2018,2018,Unprovoked,USA,South Carolina,Boogie boarding,10,N,M,May
2018.05.13.b,13-May-2018,2018,Unprovoked,USA,South Carolina,Swimming,10,N,M,May
2018.04.28.b,28-Apr-2018,2018,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,30,N,M,Apr
2018.04.25.a,25-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,60,N,M,Apr
2018.04.23,23-Apr-2018,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,32,N,M,Apr
2018.04.19,19-Apr-2018,2018,Unprovoked,USA,Hawaii,Body boarding,29,N,M,Apr
2018.04.15.d,15-Apr-2018,2018,Unprovoked,THAILAND,Hua Hin,Swimming,54,N,M,Apr
2018.04.15.b,15-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,41,N,M,Apr
2018.04.15.a,15-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,37,N,M,Apr
2018.04.05,05-Apr-2018,2018,Unprovoked,BAHAMAS,unknown,Swimming,12,N,M,Apr
2018.04.03,03-Apr-2018,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,19,N,M,Apr
2018.03.14,14-Mar-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Wading,10,N,M,Mar
2018.03.09.b,9-Mar-2018,2018,Unprovoked,AUSTRALIA,Victoria,Swimming,69,N,M,Mar
2018.03.09.a,9-Mar-2018,2018,Unprovoked,AUSTRALIA,Victoria,Surfing,18,N,M,Mar
2018.02.24,24-Feb-2018,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,38,N,M,Feb
2018.02.23,23-Feb-2018,2018,Unprovoked,AUSTRALIA,New South Wales,Swimming,55,N,F,Feb
2018.02.15,15-Feb-2018,2018,Unprovoked,AUSTRALIA,New South Wales,Walking,35,N,M,Feb
2018.02.03,03-Feb-2018,2018,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,45,N,M,Feb
2018.01.13,13-Jan-2018,2018,Unprovoked,AUSTRALIA,New South Wales,Free diving,28,N,M,Jan
2018.01.12,12-Jan-2018,2018,Unprovoked,BRAZIL,Fernando de Noronha,Surfing,20,N,M,Jan
2017.12.31,31-Dec-2017,2017,Unprovoked,USA,Hawaii,Surfing,54,N,F,Dec
2017.12.30,30-Dec-2017,2017,Unprovoked,USA,California,Surfing,35,N,F,Dec
2017.12.09,09-Dec-2017,2017,Unprovoked,BAHAMAS,unknown,Snorkeling,25,N,F,Dec
2017.11.30.b,30-Nov-2017,2017,Unprovoked,COSTA RICA,Cocos Island,Scuba Diving,26,N,M,Nov
2017.11.30.a,30-Nov-2017,2017,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,49,Y,F,Nov
2017.11.24,24-Nov-2017,2017,Unprovoked,USA,California,Spearfishing,25,N,M,Nov
2017.11.18,18-Nov-2017,2017,Unprovoked,USA,Florida,Surfing,14,N,F,Nov
2017.11.13,13-Nov-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,25,N,M,Nov
2017.10.28,28-Oct-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,31,N,M,Oct
2017.10.23.b,23-Oct-2017,2017,Unprovoked,USA,Florida,Surfing ,17,N,M,Oct
